时间,水解pH,水解VFA,水解TS,水解VS,水解氨氮,水解COD,发酵pH,发酵VFA,发酵碱度,发酵TS,发酵VS,发酵氨氮,发酵COD,进料量,产气量,单位VS产气量
2020.1.01,4,14250,0.0604,0.7617,307.6,77060,7.56,3600,8940,0.024,0.3934,1629,14667.5,34.496,1895,1085.492672
2020.1.02,3.99,14400,0.0597,0.7832,336.6,76760,7.51,3603,8940,0.0238,0.389,1621.5,13750,34.496,1906,1074.272509
2020.1.03,3.94,15000,0.0595,0.7626,399.4,73240,7.46,3528,8860,0.0236,0.3836,1662,13492.5,34.496,1919,1114.550584
2020.1.04,3.86,14895,0.0624,0.7691,384.8,76760,7.49,3480,9000,0.0243,0.3971,1713.5,13530,25.872,1782,1304.720875
2020.1.05,3.84,14520,0.0625,0.7707,382.4,70240,7.68,3240,9000,0.0243,0.3967,1662,12390,34.496,1853,1013.791437
2020.1.06,3.87,13500,0.064,0.7787,391,75880,7.48,3480,9000,0.0253,0.4092,1751,12537.5,34.496,1883,995.7234771
2020.1.07,3.83,13200,0.0636,0.7739,394.6,78520,7.64,3228,9000,0.0235,0.4082,1713,12022.5,35.84,1933,996.1602444
2020.1.08,3.8,12225,0.0654,0.774,364.5,85200,7.59,3360,8800,0.0244,0.3965,1325,12905,35.84,1984,994.1737059
2020.1.09,3.82,12000,0.0663,0.7795,347.5,80000,7.41,3240,8600,0.0246,0.4696,1451,14412.5,35.84,2031,996.8265331
2020.1.10,3.84,11700,0.0661,0.7738,413.8,78800,7.48,3360,8700,0.0247,0.4139,1704.25,14485,31.36,2018,1143.726642
2020.1.11,3.87,11650,0.0638,0.774,360.8,77060,7.58,3420,8860,0.0241,0.3872,1662,11617.5,35.84,2069,1062.767256
2020.1.12,3.9,11850,0.0636,0.7728,381,71760,7.36,3552,8720,0.0244,0.4079,1653,12425,35.84,2080,1073.441595
2020.1.13,3.95,12345,0.061,0.7573,412.6,73820,7.28,3624,8760,0.0248,0.3964,1638,13565,35.84,2114,1160.770881
2020.1.14,3.99,12555,0.0598,0.7572,423.4,71450,7.51,3516,8800,0.0242,0.3908,1704.25,12462.5,35.84,2143,1200.465534
2020.1.15,4.04,13200,0.06,0.7582,391,77640,7.56,3480,8800,0.0243,0.4032,1629,14485,36.736,2170,1180.429765
2020.1.16,4.04,15250,0.0564,0.7431,441.6,70000,7.68,3528,8790,0.0247,0.39,1621,12167.5,36.736,2189,1292.512776
2020.1.17,4.01,16800,0.0517,0.7272,442.8,67120,7.69,3690,8900,0.0236,0.4068,1740.5,11432.5,36.736,2218,1459.931829
2020.1.18,3.93,15945,0.0554,0.7396,454.8,67341,7.66,3720,9180,0.0242,0.3952,1722.5,11655,36.736,2228,1345.624754
2020.1.19,3.91,16350,0.0585,0.7524,395.8,63520,7.52,3880,9200,0.0244,0.4077,1547.5,14485,36.736,2185,1228.463442
2020.1.20,3.84,16275,0.0574,0.7455,387.63,83240,7.7,3400,9060,0.0238,0.3851,1653,17500,35.84,2163,1282.142491
2020.1.21,3.92,15450,0.0564,0.7514,498.4,69640,7.67,3184,9200,0.0237,0.3743,1678.75,13345,34.048,2079,1309.84499
2020.1.22,3.91,14550,0.0591,0.7545,413.27,81253,7.8,3120,8960,0.0237,0.3943,1629,11617.5,33.04,2008,1239.036955
2020.1.23,3.93,14250,0.0571,0.7489,362,72760,7.73,3120,9220,0.024,0.3898,1629,12977,31.36,1938,1313.787407
2020.1.24,4,13605,0.058,0.751,384.8,69520,7.36,3360,9060,0.0239,0.3927,1751,13897,31.36,1887,1255.842657
2020.1.25,4.08,13890,0.0557,0.7432,382.4,65880,7.67,2964,9160,0.0237,0.399,1606.25,10955,31.36,1863,1304.617559
2020.1.26,4.12,15270,0.0529,0.7286,376.4,60324,7.72,2736,9200,0.0232,0.3759,1645.5,11947,30.352,1842,1431.412443
2020.1.27,4.2,15750,0.0521,0.7266,372.8,72060,7.71,2520,9400,0.0225,0.3772,1722.5,12940,28.672,1793,1501.746054
2020.1.29,4.11,16550,0.0497,0.7058,357,6800,7.74,2160,9380,0.0233,0.38,1399.75,10845,26.88,1658,1598.543776
2020.1.30,4.07,17030,0.0518,0.728,456,71000,7.72,1900,9320,0.0233,0.3607,1731.5,11690,21.28,1437,1627.913483
2020.1.31,4.04,16200,0.0495,0.7133,499.6,63520,7.86,1764,9300,0.0234,0.3435,1704.25,10735,20.16,1286,1642.405281
2020.02.01,4.52,8775,0.0433,0.6699,868.83,47940,7.87,1536,9440,0.0226,0.3395,1678.74,8640,19.8,1141,1806.050521
2020.02.02,4.99,4395,0.0381,0.6184,1045,39710,7.86,1130,9500,0.0235,0.3264,1713.5,8900,16.5,927.9,2169.85188
2020.02.03,4.88,5400,0.0391,0.6345,1045,45880,7.93,980,9500,0.0234,0.3276,1704,9632.5,12.54,694.5,2029.427984
2020.02.04,5.27,3180,0.0361,0.5943,1109.2,32940,7.95,880,9430,0.023,0.3236,1662,5845,12.1,567,1985.601404
2020.02.05,6.36,450,0.0304,0.5376,1378,29400,8.01,966,9370,0.021,0.3194,1760.25,8750,9.24,499,3004.021562
2020.02.06,6.23,473,0.0312,0.5438,1261,36100,8,720,9600,0.0221,0.3241,1687.73,9860,9.24,475.5,2757.351089
2020.02.07,6.67,170,0.0295,0.514,1314,27060,7.98,5.47,9620,0.0217,0.318,1740,8625,9.24,448.9,2912.727218
2020.02.08,6.84,103,0.0291,0.5205,1324,28840,8.07,816,9400,0.0218,0.3297,1687.75,8640,9.24,430,2793.123099
2020.02.09,6.7,134,0.029,0.5086,1400.3,32940,7.99,720,9600,0.022,0.3215,1779.75,9632,10.12,407,2478.830652
2020.02.10,6.95,107,0.0313,0.5265,1375,28124,7.99,780,9700,0.0224,0.3128,1613.75,9780,11,388,1945.824387
2020.02.11,7.17,107,0.0406,0.5083,1400,26400,8.05,720,9400,0.0213,0.3297,1669.75,8640,12.65,367.9,1281.151336
2020.02.12,7.38,107,0.0288,0.4849,1244,26700,8.03,570,9520,0.0217,0.3103,1731.5,8897,13.2,373,1839.490476
2020.02.13,7.42,107,0.0281,0.4669,1291,24300,7.94,600,9600,0.0218,0.3156,1704.35,8235,14.3,276,1337.365654
2020.02.14,7.46,107,0.0276,0.4508,1315,25200,7.97,660,9700,0.0216,0.3101,1534,9300,11.55,263.5,1666.913104
2020.02.16,7.55,107,0.028,0.4675,1180,21470,8.14,510,9600,0.0213,0.2983,1731.5,8417.3,15.4,240,1082.326244
2020.02.17,7.42,107,0.0274,0.4585,1133,21760,8.18,570,9510,0.0212,0.2987,1751,6360,15.4,266.47,1252.117291
2020.02.18,6.68,80,0.0289,0.4869,1170,3000,8.08,523,9600,0.0214,0.3015,1751,6570,15.4,307,1287.915447
2020.02.19,6.71,30,0.0293,0.496,1128.2,28810,8.05,613,9380,0.0213,0.3081,1704.25,8175,15.4,339.9,1380.665465
2020.02.20,6.12,300,0.0311,0.5358,1052,20301,8.11,516,9420,0.0218,0.3418,1640,7576,15.4,346.13,1226.204027
2020.02.21,5.99,900,0.0327,0.5502,1127,21408,8.13,600,9440,0.0226,0.327,1527.75,9780,15.4,351.5,1153.303433
2020.02.22,5.96,900,0.0298,0.5158,1106.4,31180,8.05,600,9400,0.0231,0.3646,1629,8932,15.4,394,1513.16126
2020.02.23,5.83,1150,0.0313,0.3547,1624,32340,8.03,624,9430,0.0223,0.3429,1704.32,7390,15.4,425.49,2262.405384
2020.02.24,5.66,1950,0.033,0.5716,1261,30580,8.05,660,9380,0.022,0.3316,1687.75,7537,15.4,439,1373.86783
2020.02.25,5.75,1800,0.0325,0.571,1156.6,27060,8.01,700,9560,0.0216,0.3249,1678.75,8932,15.4,465,1479.17677
2020.02.26,5.66,2250,0.0337,0.5787,1214.5,28060,8.01,960,9400,0.0225,0.3579,1790.25,11250,15.4,479,1449.902251
2020.02.27,5.49,2745,0.037,0.6198,1937,35880,7.93,1080,9400,0.0227,0.3347,1876.25,9534,15.4,503,1294.795803
2020.02.28,5.79,1850,0.0351,0.6034,1141.43,29836,7.91,1113,9400,0.022,0.3412,1722.5,9375,15.4,516,1438.215197
2020.02.29,6.63,75,0.0366,0.6072,1175.5,30147,7.98,1200,9200,0.0226,0.3486,1722.5,13015,15.4,508,1349.389909
2020.03.01,6.95,75,0.0334,0.5811,1145,31147,7.97,1160,9200,0.022,0.3475,1831,10050,15.4,552,1678.913532
2020.03.02,7.11,75,0.0324,0.5689,1168,31284,7.94,1260,9200,0.0224,0.3782,1591.25,10072.5,15.4,572.48,1833.436905
2020.03.03,7.07,75,0.0318,0.5613,1297.2,26476,8.07,1300,9200,0.0218,0.3221,1740.5,8175,15.4,593.5,1962.841154
2020.03.04,7.12,75,0.0308,0.5474,1408.2,21347,8,1170,9400,0.0217,0.3441,1769.25,1772.5,15.4,596.5,2088.533917
2020.03.05,7.14,75,0.0299,0.5282,1548,22940,8.05,1030,9480,0.0217,0.3421,1653,8860,15.4,570.51,2132.456938
2020.03.06,7.58,75,0.0283,0.5024,1548,22940,8.1,960,9500,0.0211,0.3254,1653,8860,15.4,551.51,2289.833576
2020.03.08,7.29,75,0.0282,0.5198,1440.8,24700,8.13,900,9400,0.0248,0.3389,1722.5,7390,15.4,466.03,1876.787426
2020.03.09,7.29,75,0.0278,0.5047,1440.8,24700,8.11,1070,9440,0.0228,0.3605,1722.5,7390,15.4,458,1926.965643
2020.03.10,6.78,46,0.0298,0.5296,1440.8,24700,8.22,660,9600,0.0214,0.3415,1722.5,7390,15.4,459,1716.860619
2020.03.11,6.69,75,0.0316,0.5607,1440.8,24700,8.12,600,9500,0.0224,0.354,1722.5,7390,15.4,505,1682.52038
2020.03.12,6.4,300,0.0335,0.5933,1440.8,24700,8.11,720,9300,0.0217,0.35,1722.5,7390,15.4,505,1499.887952
2020.03.13,6.48,150,0.0328,0.5801,1528.8,36180,8.06,960,9500,0.0294,0.3457,1740.5,9850,15.4,503,1560.550654
2020.03.14,7.04,150,0.0314,0.5575,1528.8,36180,8.01,936,9600,0.0254,0.3694,1740.5,9850,15.4,509,1716.44486
2020.03.15,7,150,0.0321,0.557,1528.8,36180,8.1,720,9500,0.0284,0.4007,1740.5,9850,15.4,501,1654.108877
2020.03.16,6.55,150,0.0324,0.5766,1528.8,36180,8.18,960,9200,0.0224,0.3622,1740.5,9850,15.4,494.5,1562.547548
