时间,水解pH,水解pH_change,水解VFA,水解VFA_change,水解TS,水解VS,水解氨氮,水解氨氮_change,水解COD,水解COD_change,发酵pH,发酵pH_change,发酵VFA,发酵VFA_change,发酵碱度,发酵碱度_change,发酵TS,发酵VS,发酵氨氮,发酵氨氮_change,发酵COD,发酵COD_change,进料量,产气量,产气量_change,产气量_提升,单位VS产气量,单位VS产甲烷量_change
2020.1.01,4.0,3.901379310344828,14250,16002.052173913042,0.0604,0.7617,307.6,1551.089473684211,77060,59242.10526315788,7.56,7.803289473684225,3600.0,3880.0,8940,9421.052631578934,0.024,0.3934,1629.0,1831.666666666666,14667.5,13739.076086956526,34.496,1895.0,2316.2935,421.29345703125,1085.492672,796.0906298961528
2020.1.02,3.99,3.98896551724138,14400,14578.8,0.0597,0.7832,336.6,436.2368421052632,76760,79792.10526315788,7.51,8.173421052631603,3603.0,2248.618947368421,8940,9523.6842105263,0.0238,0.389,1621.5,1847.4999999999995,13750.0,13625.108695652178,34.496,1906.0,2250.4993,344.499267578125,1074.272509,761.0648984996807
2020.1.03,3.94,4.032758620689656,15000,14578.8,0.0595,0.7626,399.4,329.0394736842106,73240,81955.26315789472,7.46,8.033026315789494,3528.0,3242.7417763157896,8860,9592.10526315788,0.0236,0.3836,1662.0,1847.4999999999995,13492.5,10320.05434782609,34.496,1919.0,2304.1812,385.18115234375,1114.550584,802.9577224080077
2020.1.04,3.86,3.945172413793104,14895,13313.686956521738,0.0624,0.7691,384.8,393.3578947368421,76760,30039.47368421052,7.49,7.816052631578962,3480.0,3242.7417763157896,9000,9386.842105263144,0.0243,0.3971,1713.5,2559.999999999999,13530.0,12257.500000000004,25.872,1782.0,2189.4446,407.444580078125,1304.720875,961.8229118099088
2020.1.05,3.84,3.901379310344828,14520,16002.052173913042,0.0625,0.7707,382.4,1551.089473684211,70240,59242.10526315788,7.68,7.803289473684225,3240.0,3880.0,9000,9421.052631578934,0.0243,0.3967,1662.0,1831.666666666666,12390.0,13739.076086956526,34.496,1853.0,2331.784,478.783935546875,1013.791437,765.4428236227021
2020.1.06,3.87,3.813793103448276,13500,17425.304347826088,0.064,0.7787,391.0,414.7973684210527,75880,26794.73684210526,7.48,8.033026315789494,3480.0,3242.7417763157896,9000,9592.10526315788,0.0253,0.4092,1751.0,2559.999999999999,12537.5,10889.891304347828,34.496,1883.0,2465.8323,582.832275390625,995.7234771,782.3538249046306
2020.1.07,3.83,4.032758620689656,13200,12681.130434782608,0.0636,0.7739,394.6,350.4789473684211,78520,46263.15789473683,7.64,7.675657894736853,3228.0,3242.7417763157896,9000,9386.842105263144,0.0235,0.4082,1713.0,2559.999999999999,12022.5,8154.67391304348,35.84,1933.0,2429.5195,496.51953125,996.1602444,751.2232085247024
2020.1.08,3.8,3.98896551724138,12225,14895.078260869564,0.0654,0.774,364.5,350.4789473684211,85200,64649.99999999999,7.59,8.05855263157897,3360.0,3880.0,8800,9489.473684210512,0.0244,0.3965,1325.0,2559.999999999999,12905.0,11459.728260869568,35.84,1984.0,3187.9456,1203.945556640625,994.1737059,958.4793291372871
2020.1.09,3.82,4.032758620689656,12000,16792.747826086954,0.0663,0.7795,347.5,1529.6500000000003,80000,72221.05263157893,7.41,7.981973684210546,3240.0,3497.6450657894734,8600,9386.842105263144,0.0246,0.4696,1451.0,1879.166666666666,14412.5,10092.119565217394,35.84,2031.0,2493.2178,462.2177734375,996.8265331,734.2114119130111
2020.1.10,3.84,3.77,11700,14262.521739130434,0.0661,0.7738,413.8,457.6763157894737,78800,57078.94736842104,7.48,8.05855263157897,3360.0,3370.1934210526315,8700,8771.052631578945,0.0247,0.4139,1704.25,1894.9999999999995,14485.0,9864.184782608698,31.36,2018.0,2077.6858,59.685791015625,1143.726642,706.532584874658
2020.1.11,3.87,3.98896551724138,11650,14895.078260869564,0.0638,0.774,360.8,350.4789473684211,77060,64649.99999999999,7.58,8.05855263157897,3420.0,3880.0,8860,9489.473684210512,0.0241,0.3872,1662.0,2559.999999999999,11617.5,11459.728260869568,35.84,2069.0,3147.7454,1078.745361328125,1062.767256,970.1268339321721
2020.1.12,3.9,3.901379310344828,11850,16002.052173913042,0.0636,0.7728,381.0,1551.089473684211,71760,59242.10526315788,7.36,7.803289473684225,3552.0,3880.0,8720,9421.052631578934,0.0244,0.4079,1653.0,1831.666666666666,12425.0,13739.076086956526,35.84,2080.0,2422.2563,342.25634765625,1073.441595,750.0434760121692
2020.1.13,3.95,3.857586206896552,12345,14420.660869565218,0.061,0.7573,412.6,1443.892105263158,73820,73302.63157894736,7.28,7.981973684210546,3624.0,3370.1934210526315,8760,10036.842105263133,0.0248,0.3964,1638.0,1752.4999999999995,13565.0,8952.445652173916,35.84,2114.0,2296.429,182.428955078125,1160.770881,756.5641992229932
2020.1.14,3.99,3.901379310344828,12555,16002.052173913042,0.0598,0.7572,423.4,1551.089473684211,71450,59242.10526315788,7.51,7.803289473684225,3516.0,3880.0,8800,9421.052631578934,0.0242,0.3908,1704.25,1831.666666666666,12462.5,13739.076086956526,35.84,2143.0,2396.2253,253.225341796875,1200.465534,805.3903687260546
2020.1.15,4.04,3.901379310344828,13200,16002.052173913042,0.06,0.7582,391.0,1551.089473684211,77640,59242.10526315788,7.56,7.803289473684225,3480.0,3880.0,8800,9421.052631578934,0.0243,0.4032,1629.0,1831.666666666666,14485.0,13739.076086956526,36.736,2170.0,2460.3586,290.358642578125,1180.429765,803.0268868267851
2020.1.16,4.04,3.857586206896552,15250,14420.660869565218,0.0564,0.7431,441.6,1443.892105263158,70000,73302.63157894736,7.68,7.981973684210546,3528.0,3370.1934210526315,8790,10036.842105263133,0.0247,0.39,1621.0,1752.4999999999995,12167.5,8952.445652173916,36.736,2189.0,2315.7666,126.7666015625,1292.512776,820.4178856683899
2020.1.17,4.01,3.98896551724138,16800,14578.8,0.0517,0.7272,442.8,436.2368421052632,67120,79792.10526315788,7.69,8.173421052631603,3690.0,2248.618947368421,8900,9523.6842105263,0.0236,0.4068,1740.5,1847.4999999999995,11432.5,13625.108695652178,36.736,2218.0,2322.4512,104.451171875,1459.931829,917.2102037709739
2020.1.18,3.93,3.98896551724138,15945,14578.8,0.0554,0.7396,454.8,436.2368421052632,67341,79792.10526315788,7.66,8.173421052631603,3720.0,2248.618947368421,9180,9523.6842105263,0.0242,0.3952,1722.5,1847.4999999999995,11655.0,13625.108695652178,36.736,2228.0,2335.7407,107.74072265625,1345.624754,846.4175588356759
2020.1.19,3.91,3.901379310344828,16350,16002.052173913042,0.0585,0.7524,395.8,1551.089473684211,63520,59242.10526315788,7.52,7.803289473684225,3880.0,3880.0,9200,9421.052631578934,0.0244,0.4077,1547.5,1831.666666666666,14485.0,13739.076086956526,36.736,2185.0,2462.9768,277.976806640625,1228.463442,830.8495100064193
2020.1.20,3.84,3.901379310344828,16275,16002.052173913042,0.0574,0.7455,387.63,1551.089473684211,83240,59242.10526315788,7.7,7.803289473684225,3400.0,3880.0,9060,9421.052631578934,0.0238,0.3851,1653.0,1831.666666666666,17500.0,13739.076086956526,35.84,2163.0,2376.0842,213.084228515625,1282.142491,845.070333093102
2020.1.21,3.92,4.164137931034484,15450,12522.991304347826,0.0564,0.7514,498.4,350.4789473684211,69640,25713.15789473684,7.67,7.969210526315808,3184.0,3242.7417763157896,9200,9523.6842105263,0.0237,0.3743,1678.75,2559.999999999999,13345.0,14536.84782608696,34.048,2079.0,2554.8333,475.833251953125,1309.84499,965.7822610014641
2020.1.22,3.91,3.901379310344828,14550,16002.052173913042,0.0591,0.7545,413.27,1551.089473684211,81253,59242.10526315788,7.8,7.803289473684225,3120.0,3880.0,8960,9421.052631578934,0.0237,0.3943,1629.0,1831.666666666666,11617.5,13739.076086956526,33.04,2008.0,2223.3413,215.34130859375,1239.036955,823.1480214263327
2020.1.23,3.93,3.901379310344828,14250,16002.052173913042,0.0571,0.7489,362.0,1551.089473684211,72760,59242.10526315788,7.73,7.803289473684225,3120.0,3880.0,9220,9421.052631578934,0.024,0.3898,1629.0,1831.666666666666,12977.0,13739.076086956526,31.36,1938.0,2133.0193,195.019287109375,1313.787407,867.5956279295939
2020.1.24,4.0,4.032758620689656,13605,12681.130434782608,0.058,0.751,384.8,350.4789473684211,69520,46263.15789473683,7.36,7.675657894736853,3360.0,3242.7417763157896,9060,9386.842105263144,0.0239,0.3927,1751.0,2559.999999999999,13897.0,8154.67391304348,31.36,1887.0,2162.5264,275.5263671875,1255.842657,863.5271408059597
2020.1.25,4.08,3.813793103448276,13890,12522.991304347826,0.0557,0.7432,382.4,371.9184210526316,65880,72221.05263157893,7.67,8.05855263157897,2964.0,3191.7611184210527,9160,9386.842105263144,0.0237,0.399,1606.25,1831.666666666666,10955.0,10889.891304347828,31.36,1863.0,2054.93,191.929931640625,1304.617559,863.4130988972963
2020.1.26,4.12,3.813793103448276,15270,12522.991304347826,0.0529,0.7286,376.4,371.9184210526316,60324,72221.05263157893,7.72,8.05855263157897,2736.0,3191.7611184210527,9200,9386.842105263144,0.0232,0.3759,1645.5,1831.666666666666,11947.0,10889.891304347828,30.352,1842.0,1999.618,157.6180419921875,1431.412443,932.3381586631822
2020.1.27,4.2,3.813793103448276,15750,12522.991304347826,0.0521,0.7266,372.8,371.9184210526316,72060,72221.05263157893,7.71,8.05855263157897,2520.0,3191.7611184210527,9400,9386.842105263144,0.0225,0.3772,1722.5,1831.666666666666,12940.0,10889.891304347828,28.672,1793.0,1918.6249,125.6248779296875,1501.746054,964.1786972904061
2020.1.29,4.11,3.813793103448276,16550,12522.991304347826,0.0497,0.7058,357.0,371.9184210526316,6800,72221.05263157893,7.74,8.05855263157897,2160.0,3191.7611184210527,9380,9386.842105263144,0.0233,0.38,1399.75,1831.666666666666,10845.0,10889.891304347828,26.88,1658.0,1815.9963,157.996337890625,1598.543776,1050.5245995201858
2020.1.30,4.07,3.813793103448276,17030,13313.686956521738,0.0518,0.728,456.0,350.4789473684211,71000,63568.421052631566,7.72,8.05855263157897,1900.0,3625.096710526316,9320,9386.842105263144,0.0233,0.3607,1731.5,1689.1666666666663,11690.0,8838.478260869568,21.28,1437.0,1598.9154,161.9154052734375,1627.913483,1086.8041532913683
2020.1.31,4.04,5.9596551724138,16200,18216.0,0.0495,0.7133,499.6,329.0394736842106,63520,74384.21052631577,7.86,8.033026315789494,1764.0,3548.6257236842102,9300,9181.57894736841,0.0234,0.3435,1704.25,1784.1666666666663,10735.0,12143.532608695656,20.16,1286.0,1546.9418,260.9417724609375,1642.405281,1185.3990680853515
2020.02.01,4.52,4.514482758620693,8775,14578.8,0.0433,0.6699,868.83,436.2368421052632,47940,85199.99999999999,7.87,8.033026315789494,1536.0,3421.1740789473683,9440,10071.052631578925,0.0226,0.3395,1678.74,1815.8333333333328,8640.0,7470.869565217393,19.8,1141.0,1544.1,403.0999755859375,1806.050521,1466.4623484902233
2020.02.02,4.99,3.857586206896552,4395,12048.573913043478,0.0381,0.6184,1045.0,457.6763157894737,39710,67894.73684210525,7.86,7.713947368421064,1130.0,3625.096710526316,9500,9899.999999999978,0.0235,0.3264,1713.5,1863.3333333333328,8900.0,11345.76086956522,16.5,927.9,1354.5305,426.630517578125,2169.85188,1900.5047463817418
2020.02.03,4.88,3.857586206896552,5400,12048.573913043478,0.0391,0.6345,1045.0,457.6763157894737,45880,67894.73684210525,7.93,7.713947368421064,980.0,3625.096710526316,9500,9899.999999999978,0.0234,0.3276,1704.0,1863.3333333333328,9632.5,11345.76086956522,12.54,694.5,1206.3336,511.8336181640625,2029.427984,2115.047259296584
2020.02.04,5.27,3.857586206896552,3180,12048.573913043478,0.0361,0.5943,1109.2,457.6763157894737,32940,67894.73684210525,7.95,7.713947368421064,880.0,3625.096710526316,9430,9899.999999999978,0.023,0.3236,1662.0,1863.3333333333328,5845.0,11345.76086956522,12.1,567.0,1173.418,606.41796875,1985.601404,2465.5453611686085
2020.02.05,6.36,3.901379310344828,450,14420.660869565218,0.0304,0.5376,1378.0,500.5552631578949,29400,70057.89473684209,8.01,7.739473684210539,966.0,3701.567697368421,9370,10036.842105263133,0.021,0.3194,1760.25,1831.666666666666,8750.0,12485.434782608698,9.24,499.0,1072.6447,573.6446533203125,3004.021562,3874.446092571
